[2026-03-19T10:00:16.082Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"PURPLE-PANTHER","timestamp":"2026-03-19T10:00:16.082Z","sender":"X8ExhYJPkYfT6_sRAAAF"}
[2026-03-19T10:54:51.972Z] INFO: WebSocket Message: DISCOVERY_REQUEST {"senderId":"0qcnCOUBlNQcdPd7AAAB","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:54:51.972Z"}
[2026-03-19T10:54:51.973Z] INFO: WebSocket Message: DISCOVERY_REQUEST {"senderId":"0qcnCOUBlNQcdPd7AAAB","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:54:51.973Z"}
[2026-03-19T10:55:14.194Z] INFO: WebSocket Message: JOIN_ROOM {"roomCode":"CRYSTAL-VALLEY","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:55:14.194Z"}
[2026-03-19T10:55:14.196Z] INFO: WebSocket Message: GAME_ANNOUNCEMENT {"roomCode":"CRYSTAL-VALLEY","hostName":"Neil","playerCount":1,"maxPlayers":100,"public":true,"senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:55:14.196Z"}
[2026-03-19T10:55:14.196Z] INFO: WebSocket Message: GAME_ANNOUNCEMENT {"roomCode":"CRYSTAL-VALLEY","hostName":"Neil","playerCount":1,"maxPlayers":100,"public":true,"senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:55:14.196Z"}
[2026-03-19T10:55:14.196Z] INFO: WebSocket Message: JOIN_ROOM {"roomCode":"CRYSTAL-VALLEY","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:55:14.196Z"}
[2026-03-19T10:55:19.207Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:19.202Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:24.194Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:24.194Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:29.210Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:29.208Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
